german,frequency,pattern,example_sentence,translation,sources
wäre nichts,16,sein_adj,"Wir können uns nicht einfach so verhalten, als wäre nichts geschehen.",We can't just act as if nothing has happened.,['100k_German_sentences_with_aud']
bald,16,sich_verb,Deine Bemühungen werden sich bald bezahlt machen.,Your efforts will soon pay off.,['100k_German_sentences_with_aud']
hin,16,sich_verb,Ziehen Sie Ihr Hemd aus und legen Sie sich hin.,Remove your shirt and lie down.,['100k_German_sentences_with_aud']
hätte die,16,haben_noun,"Ich hätte die Blumen nicht gießen müssen, gerade als ich fertig war, begann es zu regnen.","I needn't have watered the flowers. Just after I finished, it started raining.",['100k_German_sentences_with_aud']
bin heute,16,sein_adj,Ich bin heute Morgen um halb sieben aufgestanden.,I got up at six-thirty this morning.,['100k_German_sentences_with_aud']
scheiden,16,sich_verb,"Tom hat mich gefragt, wie lange meine Eltern verheiratet waren, bevor sie sich scheiden ließen.",Tom asked me how long my parents had been married before they separated.,['100k_German_sentences_with_aud']
habe drei,16,haben_noun,Ich habe drei Vettern mütterlicherseits.,I have three cousins on my mother's side.,['100k_German_sentences_with_aud']
fragen stellen,16,verb_zu,"Bitte zögern Sie nicht, mir Fragen zu stellen.",Please don't hesitate to ask me any questions.,['100k_German_sentences_with_aud']
seine,16,sich_verb,Er wischte sich seine Hände mit einem Taschentuch ab.,He wiped his hands on a handkerchief.,['100k_German_sentences_with_aud']
machte mir,16,machen_noun,Der Arzt machte mir wegen meines Vaters Zustand Mut.,The doctor reassured me about my father's condition.,['100k_German_sentences_with_aud']
habe über,15,haben_noun,"Ich habe über zwei Stunden gebraucht, um einige Seiten Englisch zu übersetzen.",It took me more than two hours to translate a few pages of English.,['100k_German_sentences_with_aud']
worden sein,15,verb_zu,Sie lernen wie es zu machen ist ohne unterrichtet worden zu sein.,They learn to do without being taught.,['100k_German_sentences_with_aud']
ist oft,15,sein_adj,Der Junge ist oft bei mir vorbeigekommen.,The boy used to drop in on me very often.,['100k_German_sentences_with_aud']
gegenseitig,15,sich_verb,"Die zwei Jungen begannen, sich gegenseitig Vorwürfe zu machen.",The two boys began to blame each other.,['100k_German_sentences_with_aud']
wartete sie,15,sein_adj,Ängstlich wartete sie auf die Resultate der Aufnahmeprüfung.,She was anxious to know the entrance exam results.,['100k_German_sentences_with_aud']
bin stolz,15,sein_adj,"Ich bin stolz, an diesem Projekt teilzuhaben.",I am proud to be a part of this project.,['100k_German_sentences_with_aud']
ist möglich,15,sein_adj,"Es ist möglich, bei fallenden Kursen Gewinne zu erwirtschaften.",It is still possible to make a profit when prices are falling.,['100k_German_sentences_with_aud']
während,15,sich_verb,Kakerlaken verstecken sich während des Tages.,Cockroaches hide themselves during the day.,['100k_German_sentences_with_aud']
heraus,15,sich_verb,"jn./etwas/sich halten .... + Akk. Zuerst hatten wir die Person im Schatten .... einen Einbrecher gehalten, doch dann stellte sich heraus, dass es nur unser Nachbar war. Ich halte es für .... Fehler, a","jn./etwas/sich halten für + Akk. Zuerst hatten wir die Person im Schatten für einen Einbrecher gehalten, doch dann stellte sich heraus, dass es nur unser Nachbar war. Ich halte es für einen Fehler, ab","['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
ist alt,15,sein_adj,"Henry ist alt genug, um für sich selbst zu sorgen.",Henry is old enough to support himself.,['100k_German_sentences_with_aud']
ist stolz,15,sein_adj,Der alte Arzt ist stolz auf seine Arbeit.,The old doctor takes pride in his work.,['100k_German_sentences_with_aud']
hätte ein,15,haben_noun,Er hätte ein paar Kugelschreiber kaufen sollen.,He should have bought some pencils.,['100k_German_sentences_with_aud']
habe diesen,15,haben_noun,Ich habe diesen Roman mit Vergnügen gelesen.,I have enjoyed reading this novel.,['100k_German_sentences_with_aud']
hatte kein,15,haben_noun,Er hatte kein Geld und konnte daher keine Lebensmittel kaufen.,He had no money and so could not buy any food.,['100k_German_sentences_with_aud']
einfach,15,sich_verb,"jn. bewegen .... + Dat. Er ließ sich nicht zu einer Entschuldigung bewegen. Sie lässt sich einfach nicht dazu bewegen, von ihrem Amt zurückzutreten. Wir haben ihn da... bewegt, um Verzeihung zu bitten","jn. bewegen zu + Dat. Er ließ sich nicht zu einer Entschuldigung bewegen. Sie lässt sich einfach nicht dazu bewegen, von ihrem Amt zurückzutreten. Wir haben ihn dazu bewegt, um Verzeihung zu bitten.","['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
warum die,15,sein_adj,"Danke, dass Sie mir letzten Endes erklärt haben, warum die Leute mich für einen Idioten halten.",Thanks for having explained to me at last why people take me for an idiot.,['100k_German_sentences_with_aud']
haben keinen,15,haben_noun,"Sie haben keinen Vorteil davon, sich über andere abfällig zu äußern.",You gain nothing by speaking ill of others.,['100k_German_sentences_with_aud']
war einer,15,sein_adj,Ich war einer der besten Schüler der Klasse.,I was one of the best students in the class.,['100k_German_sentences_with_aud']
warten müssen,15,sein_adj,Wie lange werden wir deiner Meinung nach warten müssen?,How long do you think we'll have to wait?,['100k_German_sentences_with_aud']
fragen beantworten,15,verb_zu,"Er ist gewandt genug, um alle Fragen zu beantworten.",He is smart enough to answer all the questions.,['100k_German_sentences_with_aud']
sind keine,15,sein_adj,Es sind keine Stifte auf dem Schreibtisch.,There are no pens on the desk.,['100k_German_sentences_with_aud']
habe alles,15,haben_noun,"Ich habe alles versucht, um ihn am Leben zu erhalten.",I tried everything to keep him alive.,['100k_German_sentences_with_aud']
ist ungefähr,15,sein_adj,Es ist ungefähr 133 Kilometer von London entfernt.,It's about 133 kilometers from London.,['100k_German_sentences_with_aud']
ist um,14,sein_adj,Der Preis dieses Autos ist um fünfzehn Prozent reduziert.,The price of this car is discounted fifteen percent.,['100k_German_sentences_with_aud']
wären wir,14,sein_adj,"Ohne deine Hilfe wären wir nicht imstande, unseren Plan auszuführen.","Without your help, we wouldn't be able to carry out our plan.",['100k_German_sentences_with_aud']
haben viele,14,haben_noun,In den USA haben viele Leute Zäune um ihre Grundstücke.,"In America, many people have fences around their homes.",['100k_German_sentences_with_aud']
waren von,14,sein_adj,Wir waren von seinem neuen Buch sehr beeindruckt.,We were very impressed by his new book.,['100k_German_sentences_with_aud']
ihr,14,sich_verb,"Ich denke, dass sich Ihr Englisch stark verbessert hat.",I think your English has improved a lot.,['100k_German_sentences_with_aud']
sind jetzt,14,sein_adj,Schmetterlinge dieser Art sind jetzt ausgestorben.,Butterflies of this species are now extinct.,['100k_German_sentences_with_aud']
sind tom,14,sein_adj,Seit wann sind Tom und Maria verheiratet?,How long have Tom and Mary been married?,['100k_German_sentences_with_aud']
ist und,14,sein_adj,"Jeder sagt, dass Kate ein Genie ist und dass sie eine erfolgreiche Zukunft haben wird.",Everyone says that Kate is a genius and will have a successful future.,['100k_German_sentences_with_aud']
wäre fast,14,sein_adj,Ich wäre fast von einem Auto angefahren worden.,I was nearly hit by a car.,['100k_German_sentences_with_aud']
mach dir,14,machen_noun,Mach dir über die Vergangenheit keine Gedanken!,Don't worry about the past.,['100k_German_sentences_with_aud']
ist schlimmer,14,sein_adj,Das Leben im Gefängnis ist schlimmer als das Leben eines Tieres.,Life in prison is worse than the life of an animal.,['100k_German_sentences_with_aud']
bin ziemlich,14,sein_adj,"Ich bin ziemlich sicher, dass er absichtlich zu spät kam.",I'm pretty sure he came late on purpose.,['100k_German_sentences_with_aud']
bin dir,14,sein_adj,Ich bin dir zutiefst dankbar für deine Freundlichkeit.,I am deeply grateful to you for your kindness.,['100k_German_sentences_with_aud']
sind gerade,14,sein_adj,Wir sind gerade von eine Weltreise zurückgekehrt.,We have just returned from a trip around the world.,['100k_German_sentences_with_aud']
ist dumm,14,sein_adj,"Es ist dumm von dir, so etwas zu glauben.",It is foolish of you to believe such a thing.,['100k_German_sentences_with_aud']
ist zum,14,sein_adj,Herr Ou ist zum Japanischlernen nach Japan gekommen.,Mr. Oh came to Japan to study Japanese.,['100k_German_sentences_with_aud']
ist berühmt,14,sein_adj,Kyōto ist berühmt für seine alten Tempel.,Kyoto is famous for its old temples.,['100k_German_sentences_with_aud']
geht in,14,gehen_prep,Dieser Brauch geht ins zwölfte Jahrhundert zurück.,This custom dates back to the 12th century.,['100k_German_sentences_with_aud']
ist sicher,14,sein_adj,"Es ist sicher, dass der Goldpreis steigen wird.",It is certain that the price of gold will go up.,['100k_German_sentences_with_aud']
machen sollen,14,machen_noun,Er hätte ihm wegens seines Alters Zugeständnisse machen sollen.,He ought to have made allowances for his age.,['100k_German_sentences_with_aud']
ist niemand,14,sein_adj,"Hier ist niemand, der mit dem Problem umgehen kann.",There's no one here who can deal with the problem.,['100k_German_sentences_with_aud']
hatte schon,14,haben_noun,"Ich rannte zur Schule, aber die Glocke hatte schon geläutet.","I ran to school, but the bell had already rung.",['100k_German_sentences_with_aud']
ist unter,14,sein_adj,"Das ist unter ihrer Würde, so etwas zu sagen.",It's below her to say such a thing.,['100k_German_sentences_with_aud']
hatte schwierigkeiten,14,haben_noun,"Ich hatte Schwierigkeiten, ein Taxi zu bekommen.",I had trouble getting a taxi.,['100k_German_sentences_with_aud']
habe meinem,14,haben_noun,"Ich habe meinem Hund einen Ball zugeworfen, und er hat ihn mit der Schnauze gefangen.",I threw a ball to my dog and he caught it in his mouth.,['100k_German_sentences_with_aud']
sind das,13,sein_adj,"Sind das die Leute, die du gestern gesehen hast?",Are those the people you saw yesterday?,['100k_German_sentences_with_aud']
warum habe,13,sein_adj,"Mama, warum habe ich keinen Onkel mit einem Bart?","Mommy, why don't I have an uncle with a beard?",['100k_German_sentences_with_aud']
bin müde,13,sein_adj,"Ich bin müde, weil ich letzte Nacht für diese Prüfung lernen musste.",I am tired because I had to study for this exam last night.,['100k_German_sentences_with_aud']
ist denn,13,sein_adj,Da wir gerade von Herrn Itō sprechen: Was ist denn aus seinem Sohn geworden?,"Talking of Mr Ito, what has become of his son?",['100k_German_sentences_with_aud']
machen sich,13,machen_noun,Sie machen sich oft über den Chef lustig.,They often make fun of the boss.,['100k_German_sentences_with_aud']
dem,13,sich_verb,"Ein Demokrat ist ein freier Bürger, der sich dem Willen der Mehrheit beugt.",A democrat is a free citizen who yields to the will of the majority.,['100k_German_sentences_with_aud']
bin im,13,sein_adj,Ich bin im Matheunterricht eingeschlafen.,I went to sleep during the math lesson.,['100k_German_sentences_with_aud']
daran,13,sich_verb,"Die Texaner machten sich daran, ein eigenes Heer auszuheben.",The Texans began to organize their own army.,['100k_German_sentences_with_aud']
habe letzte,13,haben_noun,"Ich habe letzte Woche begonnen, Chinesisch zu lernen.",I started learning Chinese last week.,['100k_German_sentences_with_aud']
ist voller,13,sein_adj,Mein ganzer Arm ist voller Mückenstiche.,I've got mosquito bites all over my arm.,['100k_German_sentences_with_aud']
hätte nichts,13,haben_noun,"Frau Young hätte nichts dagegen, wenn ich unerwartet bei ihr hereinschneite.",Mrs. Young wouldn't mind my dropping in on her unexpectedly.,['100k_German_sentences_with_aud']
aber,13,sich_verb,"Maria brach in Tränen aus, als sie die Nachricht hörte, riss sich aber bald wieder zusammen.","Marcy burst into tears on hearing the news, but soon pulled herself together.",['100k_German_sentences_with_aud']
machen braucht,13,machen_noun,"Nichts ist unmöglich für den, der es nicht selbst zu machen braucht.",Nothing is impossible for the man who doesn't have to do it himself.,['100k_German_sentences_with_aud']
alle,13,sich_verb,Sie machten sich alle über seinen Fehler lustig.,Everybody laughed at his error.,['100k_German_sentences_with_aud']
warten sie,13,sein_adj,"Bitte warten Sie, bis Sie an der Reihe sind.","Wait for your turn, please.",['100k_German_sentences_with_aud']
bin nur,13,sein_adj,"Ich bin kein echter Fisch, ich bin nur ein einfaches Plüschtier.","I'm not a real fish, I'm just a mere plushy.",['100k_German_sentences_with_aud']
ist erst,13,sein_adj,Es ist erst 5 Uhr morgens und trotzdem ist es hell.,"It's just five in the morning, but nevertheless it is light out.",['100k_German_sentences_with_aud']
machen muss,13,machen_noun,"Lasst es mich wissen, wenn ich irgendwelche Änderungen machen muss.",Let me know if I need to make any changes.,['100k_German_sentences_with_aud']
ist wichtiger,13,sein_adj,"Was man sagt, ist wichtiger, als wie man es sagt.",What to say is more important than how to say it.,['100k_German_sentences_with_aud']
ist doppelt,13,sein_adj,Das Land ist doppelt so groß wie England.,The country is twice the size of England.,['100k_German_sentences_with_aud']
ist bereits,13,sein_adj,Der größere Teil meines Lebens ist bereits vorüber.,The largest part of my life is already gone.,['100k_German_sentences_with_aud']
bitte,13,sich_verb,"sich wenden .... + Akk. Wenden Sie sich bitte ... unsere Mitarbeiter, wenn Sie weitere Informationen benötigen. ... wen kann ich mich wenden, wenn ich Hilfe brauche?","sich wenden an + Akk. Wenden Sie sich bitte an unsere Mitarbeiter, wenn Sie weitere Informationen benötigen. An wen kann ich mich wenden, wenn ich Hilfe brauche?","['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
war als,13,sein_adj,"Helen Moody war als Tennisspielerin dafür bekannt, auf dem Platz keine Regung zu zeigen.",Helen Moody was noted as a tennis player for not showing any expression on the court.,['100k_German_sentences_with_aud']
warum willst,13,sein_adj,Warum willst du nicht auf die Stimme der Vernunft hören?,Why will you not listen to reason?,['100k_German_sentences_with_aud']
bin immer,13,sein_adj,Was auch geschieht – ich bin immer auf deiner Seite.,I'll stand by you whatever happens.,['100k_German_sentences_with_aud']
hätten tom,13,haben_noun,"Wir hätten Tom das, was wir ihm sagten, besser nicht gesagt.",We shouldn't have told Tom what we told him.,['100k_German_sentences_with_aud']
kennengelernt,13,sich_verb,Wie haben Sie und Tom sich kennengelernt?,How did you and Tom meet?,['100k_German_sentences_with_aud']
gestern,13,sich_verb,Herr Hill begab sich gestern auf eine Reise nach Japan.,Mr Hill went on a journey to Japan yesterday.,['100k_German_sentences_with_aud']
ist lange,13,sein_adj,Sie ist lange vor Ihrer Ankunft weggegangen.,She left here long before you arrived.,['100k_German_sentences_with_aud']
habe da,13,haben_noun,"jm. antworten ... + Akk. Ich antworte gern ... deine Frage. Ich habe da... geantwortet, dass ich noch nichts Genaues wisse.","jm. antworten auf + Akk. Ich antworte gern auf deine Frage. Ich habe darauf geantwortet, dass ich noch nichts Genaues wisse.",['Verben_mit_Prpositionen_und_Be']
ist klar,13,sein_adj,"Es ist klar, dass wir nicht ohne Luft leben können.",It is clear that we cannot live without air.,['100k_German_sentences_with_aud']
seiner,13,sich_verb,Der Mann schämte sich seiner Herkunft aus armen Verhältnissen.,The man was ashamed of being born poor.,['100k_German_sentences_with_aud']
gingen in,12,gehen_prep,Die Farben der See und des Himmels gingen ineinander über.,The colors of the sea and the sky blend into each other.,['100k_German_sentences_with_aud']
leicht,12,sich_verb,Ein kleiner Waldbrand kann sich leicht ausbreiten und schnell ein großer Flächenbrand werden.,A small forest fire can easily spread and quickly become a great conflagration.,['100k_German_sentences_with_aud']
überhaupt,12,sich_verb,Die beiden Jungs verstehen sich überhaupt nicht.,The two boys never get along.,['100k_German_sentences_with_aud']
ganz,12,sich_verb,"Bitte kommen Sie herein, und fühlen Sie sich ganz wie zu Hause!",Please come in and make yourself at home.,['100k_German_sentences_with_aud']
ist unwahrscheinlich,12,sein_adj,"Ich denke, es ist unwahrscheinlich, dass Pflanzen Schmerz empfinden.",I think it's unlikely that plants feel pain.,['100k_German_sentences_with_aud']
war ganz,12,sein_adj,Von einem Abflauen war ganz zu schweigen; der Sturm gewann immer mehr an Stärke.,"Far from stopping, the storm became much more intense.",['100k_German_sentences_with_aud']
haben ihren,12,haben_noun,Wir haben Ihren Brief erst gestern erhalten.,We did not get your letter until yesterday.,['100k_German_sentences_with_aud']
macht keinen,12,machen_noun,"Es macht keinen Unterschied, ob du heute oder morgen gehst.",It makes no difference whether you go today or tomorrow.,['100k_German_sentences_with_aud']
ist nie,12,sein_adj,"Ein Mensch ist nie wahrhaftiger als dann, wenn er sich selbst als Lügner bekennt.",A man is never more truthful than when he acknowledges himself a liar.,['100k_German_sentences_with_aud']
war krank,12,sein_adj,"Er war krank, also ging er nicht nach draußen.","He was sick, so he did not go out.",['100k_German_sentences_with_aud']
sind zum,12,sein_adj,Wir sind zum Skifahren in die Berge gefahren.,We went to the mountains to ski.,['100k_German_sentences_with_aud']
ihnen helfen,12,verb_zu,"Ich fürchte, dass ich da nicht viel werde machen können, um Ihnen zu helfen.","There is not much I can do to help, I am afraid.",['100k_German_sentences_with_aud']
sind hier,12,sein_adj,"Wir sind hier, weil wir ein Recht darauf haben, bei diesen Entscheidungen mit einbezogen zu sein.",We are here because we have a right to be involved in these decisions.,['100k_German_sentences_with_aud']
wegen,12,sich_verb,Ausländische Investoren zogen sich wegen regionaler politischer Unruhen zurück.,Foreign investors backed off because of regional political unrest.,['100k_German_sentences_with_aud']
habe für,12,haben_noun,Ich habe für Anna ein Püppchen gemacht.,I made Ann a doll.,['100k_German_sentences_with_aud']
haben im,12,haben_noun,Eine Million Menschen haben im Krieg ihr Leben verloren.,One million people lost their lives in the war.,['100k_German_sentences_with_aud']
runden kommen,12,verb_zu,"Ich hatte es schwer, über die Runden zu kommen.",I had a hard time making both ends meet.,['100k_German_sentences_with_aud']
wäre der,12,sein_adj,"Wenn ich damals vorsichtig gewesen wäre, wäre der schreckliche Unfall nicht passiert.","If he had been careful then, the terrible accident would not have happened.",['100k_German_sentences_with_aud']
bin die,12,sein_adj,Ich bin die Tochter von Helen Cartwright.,I'm Helen Cartwright's daughter.,['100k_German_sentences_with_aud']
hatten eine,12,haben_noun,Wir hatten eine kleine Meinungsverschiedenheit.,We had a slight difference of opinion.,['100k_German_sentences_with_aud']
machte sie,12,machen_noun,"Ich sagte nichts, und das machte sie wütend.","I said nothing, which made her angry.",['100k_German_sentences_with_aud']
bin den,12,sein_adj,Ich bin den Hügel zu Fuß hinaufgegangen.,I walked up the hill.,['100k_German_sentences_with_aud']
hatte zu,12,haben_noun,"Als es aufgehört hatte zu regnen, wurde das Tennisspiel gleich fortgesetzt.","When the rain stopped, the game of tennis was continued immediately.",['100k_German_sentences_with_aud']
auch,12,sich_verb,"sich engagieren ... + Akk. Wenn man ein Projekt gut findet, sollte man sich auch da... engagieren. Sie hat sich sehr d..... engagiert, dass dieses Fest auch in diesem Jahr stattfinden kann.","sich engagieren für + Akk. Wenn man ein Projekt gut findet, sollte man sich auch dafür engagieren. Sie hat sich sehr dafür engagiert, dass dieses Fest auch in diesem Jahr stattfinden kann.","['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
ziemlich,12,sich_verb,Ihre Bücher verkaufen sich ziemlich gut.,Her books sell pretty well.,['100k_German_sentences_with_aud']
hätten das,12,haben_noun,"Ich wünschte, wir hätten das Spiel gewonnen.",I wish we had won the game.,['100k_German_sentences_with_aud']
ist fünf,12,sein_adj,Jener Berg ist fünf Mal so hoch wie dieser.,That mountain is five times as high as this one.,['100k_German_sentences_with_aud']
dann,12,sich_verb,"Tom dachte darüber nach, die Schule zu verlassen, entschloss sich dann aber, es nicht zu tun.","Tom considered leaving school, but decided against it.",['100k_German_sentences_with_aud']
ist zehn,12,sein_adj,"Es ist zehn Jahre her, dass wir uns das letzte Mal getroffen haben.",It's been ten years since we last met.,['100k_German_sentences_with_aud']
war bereit,12,sein_adj,"Er war bereit, sich seinem Schicksal zu stellen.",He was ready to face his fate.,['100k_German_sentences_with_aud']
war kein,12,sein_adj,Es war kein einziger freier Stuhl im Saal.,There wasn't a single vacant seat in the hall.,['100k_German_sentences_with_aud']
ist zwei,12,sein_adj,"Es ist zwei Jahre her, dass wir uns getrennt haben.",Two years have passed since we parted.,['100k_German_sentences_with_aud']
hab ich,12,haben_noun,"Als Papa nach Hause kam, hab ich Fernsehen geschaut.","When Dad came home, I was watching TV.",['100k_German_sentences_with_aud']
war den,12,sein_adj,Ich war den Sommer überwiegend in London.,I was in London most of the summer.,['100k_German_sentences_with_aud']
hatten sie,12,haben_noun,"Obwohl die Inkas eine große Zivilisation errichteten, hatten sie kein Schriftsystem.","Though the Incas built up a great civilization, they had no system of writing.",['100k_German_sentences_with_aud']
heute,12,sich_verb,Der Unfall ereignete sich heute vor einem Jahr.,The accident happened a year ago today.,['100k_German_sentences_with_aud']
war sein,12,sein_adj,Die Ursache des Brandes war sein Zigarettenstummel.,The cause of the fire was his cigarette butt.,['100k_German_sentences_with_aud']
bestimmt,12,sich_verb,Es wird sich bestimmt alles zum Guten wenden.,I am sure the situation will take a turn for the better.,['100k_German_sentences_with_aud']
machte es,12,machen_noun,"Der Regen machte es unmöglich für uns, picknicken zu gehen.",The rain made it impossible for us to go on the picnic.,['100k_German_sentences_with_aud']
macht einen,12,machen_noun,Dieses Buch macht einen interessanten Eindruck.,This book looks interesting.,['100k_German_sentences_with_aud']
unter,12,sich_verb,Ein alter Mann ruhte sich unter dem Baum aus.,An old man was at rest under the tree.,['100k_German_sentences_with_aud']
machen wollen,11,verb_zu,"jn./sich befreien ..... + Dat. Ich habe versucht, mich .... meinen Zweifeln zu befreien.  Du musst dich da..... befreien, immer alles immer hundertprozentig richtig machen zu wollen.","jn./sich befreien von + Dat. Ich habe versucht, mich von meinen Zweifeln zu befreien.  Du musst dich davon befreien, immer alles immer hundertprozentig richtig machen zu wollen.","['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
bin gestern,11,sein_adj,Ich bin gestern ohne Frühstück von zu Hause weggegangen.,I left home without having breakfast yesterday.,['100k_German_sentences_with_aud']
seinen,11,sich_verb,Er verdient sich seinen Lebensunterhalt als Lehrer.,He earns his living by teaching.,['100k_German_sentences_with_aud']
haben will,11,haben_noun,"Wenn er überhaupt Erfolg haben will, dann muss er sich mehr anstrengen.","If he wants to succeed at all, he must work harder.",['100k_German_sentences_with_aud']
waren mit,11,sein_adj,Die Häuserfronten waren mit Fahnen behangen.,The fronts of the houses were hung with flags.,['100k_German_sentences_with_aud']
gegen,11,sich_verb,Die Studenten lehnten sich gegen die Obrigkeit auf.,The students revolted against authority.,['100k_German_sentences_with_aud']
macht spaß,11,machen_noun,"Es macht Spaß, etwas über andere Kulturen zu lernen.",It's fun to learn about foreign cultures.,['100k_German_sentences_with_aud']
ist da,11,sein_adj,Ist da noch Platz für eine weitere Person?,Is there any space for one more person?,['100k_German_sentences_with_aud']
wartete auf,11,sein_adj,Ich wartete auf meinen Mann bis nach Mitternacht.,I waited for my husband till after midnight.,['100k_German_sentences_with_aud']
habe gewusst,11,haben_noun,"Ich habe gewusst, dass du mir nicht glauben würdest.",I knew you wouldn't believe me.,['100k_German_sentences_with_aud']
hatten einen,11,haben_noun,Wir hatten einen starken Regenfall gestern Nacht.,We had a heavy rainfall last night.,['100k_German_sentences_with_aud']
ist ihnen,11,sein_adj,"Wie anschließend zu verfahren ist, ist Ihnen überlassen.",I leave it in your hands what course of action to take.,['100k_German_sentences_with_aud']
hättest tom,11,haben_noun,"Sie können nicht sagen, du hättest Tom nicht gewarnt.",They can't say you didn't warn Tom.,['100k_German_sentences_with_aud']
hatte sie,11,haben_noun,"jn. drängen ....  + Dat. Man hatte sie ....  dieser Handlung gedrängt. Ich wurde von allen Seiten da... gedrängt, eine schnelle Entscheidung zu treffen.","jn. drängen zu + Dat. Man hatte sie zu dieser Handlung gedrängt. Ich wurde von allen Seiten dazu gedrängt, eine schnelle Entscheidung zu treffen.","['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
wärst du,11,sein_adj,"Wärst du ein bisschen früher gekommen, hättest du sie treffen können.","Had you come a little earlier, you could have met her.",['100k_German_sentences_with_aud']
habe angst,11,haben_noun,"Ich habe Angst, dass er einen Fehler macht.",I am afraid he will make a mistake.,['100k_German_sentences_with_aud']
habe seine,11,haben_noun,"Ich habe seine Einladung erhalten, sie aber nicht angenommen.","I received an invitation from him, but didn't accept it.",['100k_German_sentences_with_aud']
habe niemanden,11,haben_noun,"Ich habe niemanden, der mit mir reisen würde.",I don't have anyone who'd travel with me.,['100k_German_sentences_with_aud']
ist seltsam,11,sein_adj,"Es ist seltsam, dass er nichts darüber weiß.",It is strange that he knows nothing about the matter.,['100k_German_sentences_with_aud']
freundschaften schließen,11,verb_zu,"Tom tut sich schwer damit, Freundschaften zu schließen.",Tom has trouble making friends.,['100k_German_sentences_with_aud']
hättest dich,11,haben_noun,Du hättest dich nicht zu beeilen brauchen.,You need not have hurried.,['100k_German_sentences_with_aud']
warum das,11,sein_adj,"Das würde zu lange dauern, dir zu erklären, warum das nicht funktionieren wird.",It would take me too much time to explain to you why it's not going to work.,['100k_German_sentences_with_aud']
sind viel,11,sein_adj,Sie sind viel besser als die Bäder im Westen.,They are much better than Western baths.,['100k_German_sentences_with_aud']
macht sie,11,machen_noun,Ein einziges kritisches Wort macht sie schon nervös.,A bare word of criticism makes her nervous.,['100k_German_sentences_with_aud']
ist man,11,sein_adj,"Wenn man die Treppe runterfällt, ist man schnell unten.","When you fall off the stairs, you're downstairs quickly.",['100k_German_sentences_with_aud']
waren tom,11,sein_adj,In diesem Punkt waren Tom und Maria uneins.,Tom disagreed with Mary on that point.,['100k_German_sentences_with_aud']
bin für,11,sein_adj,Ich bin für Ihre Zusammenarbeit dankbar.,I appreciate your cooperation.,['100k_German_sentences_with_aud']
haben wird,11,haben_noun,"Jeder sagt, dass Kate ein Genie ist und dass sie eine erfolgreiche Zukunft haben wird.",Everyone says that Kate is a genius and will have a successful future.,['100k_German_sentences_with_aud']
sind aus,11,sein_adj,Wir sind aus dem gleichen Holz geschnitzt.,We are cut from the same cloth.,['100k_German_sentences_with_aud']
war nach,11,sein_adj,Der Garten war nach dem Regen verwüstet.,The garden was destroyed after the rain.,['100k_German_sentences_with_aud']
waren so,11,sein_adj,"Die Bücher waren so wertvoll, dass sie mit der größten Sorgfalt behandelt wurden.",So valuable were the books that they were handled with the greatest care.,['100k_German_sentences_with_aud']
ihre,11,sich_verb,"Während sie im Urlaub waren, haben sich ihre Nachbarn um den Hund gekümmert.","While they were away on holiday, their neighbours looked after the dog.",['100k_German_sentences_with_aud']
bis,11,sich_verb,"jn. hinweisen ... + Akk. Das Schild weist .. die Gefahr hin.  Die Lehrerin hat .... den Fehler hingewiesen. Der Kursleiter hat da.... hingewiesen, dass die Schüler sich bis zum Ende des Monats für die","jn. hinweisen auf + Akk. Das Schild weist auf die Gefahr hin.  Die Lehrerin hat auf den Fehler hingewiesen. Der Kursleiter hat darauf hingewiesen, dass die Schüler sich bis zum Ende des Monats für die","['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
jeden,11,sich_verb,Sie dürfen sich jeden von ihnen aussuchen.,You may choose any of them.,['100k_German_sentences_with_aud']
war völlig,11,sein_adj,"Rick war völlig aus dem Häuschen, als er die Prüfung bestanden hatte.",Rick was over the moon about passing the exam.,['100k_German_sentences_with_aud']
war mein,11,sein_adj,"Es war mein Buch, welches von deinem Kind in Stücke gerissen wurde.",It was my book that your child tore to pieces.,['100k_German_sentences_with_aud']
hatte mit,11,haben_noun,Ich hatte mit ihm einen Streit über Geld.,I had a quarrel with him over money.,['100k_German_sentences_with_aud']
gleich,11,sich_verb,"Die beiden Männer schüttelten sich gleich die Hand, als sie einander vorgestellt wurden.",The two men shook hands with each other the minute they were introduced.,['100k_German_sentences_with_aud']
sind als,11,sein_adj,Wale sind als die größten Säugetiere wohl bekannt.,The whale is well known to be the largest mammal.,['100k_German_sentences_with_aud']
ist verboten,11,sein_adj,Rauchen während der Arbeit ist verboten.,Smoking on duty is not allowed.,['100k_German_sentences_with_aud']
habe bereits,11,haben_noun,Ich habe bereits mein ganzes Taschengeld für diesen Monat ausgegeben.,I've already spent all my pocket money for this month.,['100k_German_sentences_with_aud']
ist älter,11,sein_adj,"Welches ist älter, dieses Buch oder das da?","Which is older, this book or that one?",['100k_German_sentences_with_aud']
